firstnames,lastnames,era
johann sebastian,bach,baroque
george fridrich,handel,baroque
antonio,vivaldi,baroque
domenico,scarlatti,baroque
claudio,monteverdi,baroque
georg philipp,telemann,baroque
henry,purcell,baroque
wolfgang amadeus,mozart,classical
william,boyce,baroque
carl,stamitz,classical
leopold,kozeluch,classical
joseph,haydn,classical
luigi,boccherini,classical
domenico,cimarosa,classical
antonio,rosetti,classical
antonio,salieri,classical
christoph willibald,gluck,classical
robert,schumann,romantic
claude,debussy,romantic
frederic,chopin,romantic
antonin,dvorak,romantic
franz,liszt,romantic
pyotr ilyich,tchaikovsky,romantic
richard,wagner,romantic
giaccomo ,puccini,romantic